    2       1.381677279822e-10       4.179730895624e-15       3.519337563470e-13       2.310666001117e-19       8.236367307563e-09       4.535748005188e-10      -1.842359180073e-12 
    3       1.306695970645e-10       5.354811277275e-15       3.955014613370e-13       4.622812695607e-19       5.068757827825e-09       3.217366560501e-10      -1.394919790320e-12 
    4       1.236017385027e-10       4.629636685288e-15       3.698084231511e-13       7.707926057804e-19       3.524741720306e-09       2.436995229163e-10      -9.127420896489e-13 
    5       1.183100857362e-10       3.087196074663e-15       3.148767312710e-13       1.156783726056e-18       2.631980795459e-09       1.925369807922e-10      -5.069340459693e-13 
    6       1.146814418092e-10       1.726133096400e-15       2.535645725496e-13       1.620471734780e-18       2.056887953516e-09       1.566789359604e-10      -2.081013598838e-13 
    7       1.123168091542e-10       9.337007993083e-16       1.990688349563e-13       2.162100616384e-18       1.660293476592e-09       1.303590621554e-10      -1.764539491239e-14 
    8       1.109366482537e-10       6.038832600820e-16       1.571588692401e-13       2.781933418171e-18       1.372927521411e-09       1.103954297785e-10       7.941436980712e-14 
    9       1.102928524650e-10       4.859090825354e-16       1.291080381539e-13       3.480244058451e-18       1.156603671218e-09       9.490293702262e-11       1.064379800027e-13 
   10       1.101544674967e-10       4.150080706797e-16       1.135880751073e-13       4.257309110715e-18       9.888531520530e-10       8.262953805464e-11       8.927942036762e-14 
   11       1.104629953840e-10       3.497601087040e-16       1.079367511561e-13       5.113399914551e-18       8.333835940297e-10       7.300928177390e-11       5.203149475155e-14 
   12       1.110664246806e-10       3.058084095555e-16       1.090961024554e-13       6.048775348527e-18       7.283518685035e-10       6.455571992133e-11       1.227611530859e-14 
   13       1.119145428028e-10       2.941510994548e-16       1.143822495120e-13       7.063675569994e-18       6.421105035679e-10       5.769140609259e-11      -1.798984672911e-14 
   14       1.129605332374e-10       3.068207116260e-16       1.217750798186e-13       8.158316982988e-18       5.703434262137e-10       5.171509446576e-11      -3.451232751219e-14 
   15       1.141905680266e-10       3.320742375037e-16       1.299846413832e-13       9.332888639931e-18       5.099217621027e-10       4.668862181118e-11      -3.750070270463e-14 
   16       1.155289923349e-10       3.673882128271e-16       1.383480353726e-13       1.058755021809e-17       4.585393819630e-10       4.235515072473e-11      -3.091270382109e-14 
   17       1.170040760185e-10       4.182914196271e-16       1.466477291765e-13       1.192243164047e-17       4.144538656938e-10       3.857250006383e-11      -1.994049081604e-14 
   18       1.185524160675e-10       4.902135972407e-16       1.551402428559e-13       1.333763350861e-17       3.761832546392e-10       3.527390097655e-11      -9.473451031824e-15 
   19       1.201852174312e-10       5.834826057766e-16       1.640476021161e-13       1.483323406034e-17       3.431228919729e-10       3.241178334347e-11      -2.117047593535e-15 
   20       1.218953317402e-10       6.960982423007e-16       1.735108464089e-13       1.640928440179e-17       3.140001407281e-10       2.986988168890e-11       4.178512156545e-16 
   21       1.236841302909e-10       8.274176903247e-16       1.834827722780e-13       1.806582580260e-17       2.883589966051e-10       2.760239489172e-11      -1.297201720056e-15 
   22       1.255254014117e-10       9.769500495621e-16       1.937763812917e-13       1.980288383368e-17       2.655875401590e-10       2.555336110625e-11      -5.508442152600e-15 
   23       1.274241690792e-10       1.144894487452e-15       2.040645190930e-13       2.162048762468e-17       2.453737479732e-10       2.371488795356e-11      -1.047337468976e-14 
   24       1.293742806256e-10       1.331482364292e-15       2.139325852448e-13       2.351866398303e-17       2.272513564226e-10       2.207098194232e-11      -1.433780269618e-14 
   25       1.313775018587e-10       1.536799794863e-15       2.230927024012e-13       2.549745816739e-17       2.110078816326e-10       2.060046629451e-11      -1.626983378195e-14 
   26       1.334223299012e-10       1.761121488552e-15       2.312982193354e-13       2.755692708563e-17       1.963499676355e-10       1.926622128273e-11      -1.593284110323e-14 
   27       1.355039526285e-10       2.006461708002e-15       2.384322715063e-13       2.969715625479e-17       1.831022409427e-10       1.805136879223e-11      -1.394322930302e-14 
   28       1.376109710830e-10       2.275352269678e-15       2.444495519147e-13       3.191825491748e-17       1.710367753667e-10       1.693765123931e-11      -1.130852257495e-14 
   29       1.397525212121e-10       2.569199664391e-15       2.494199396819e-13       3.422037073101e-17       1.600922907377e-10       1.592299642000e-11      -8.694764823243e-15 
   30       1.419328917136e-10       2.889038749637e-15       2.534891048763e-13       3.660368268181e-17       1.501516285100e-10       1.500122592650e-11      -6.780554193196e-15 
   31       1.441459023217e-10       3.235869795588e-15       2.568049776309e-13       3.906839885874e-17       1.410124498440e-10       1.415747990736e-11      -6.191188675562e-15 
   32       1.463945807848e-10       3.610751053386e-15       2.593114158791e-13       4.161475570850e-17       1.326277595603e-10       1.338338126926e-11      -6.736395923888e-15 
   33       1.486761814243e-10       4.014732596799e-15       2.608760303979e-13       4.424302335659e-17       1.249384232322e-10       1.266580961629e-11      -7.873515133660e-15 
   34       1.509810412515e-10       4.448780630872e-15       2.613510271073e-13       4.695350015289e-17       1.178370303458e-10       1.198831178814e-11      -9.000874536278e-15 
   35       1.533112764506e-10       4.913612545029e-15       2.606068839922e-13       4.974648310657e-17       1.112873687434e-10       1.135280821938e-11      -9.838917009572e-15 
   36       1.556668926550e-10       5.409791122748e-15       2.585080791061e-13       5.262229081839e-17       1.052370356699e-10       1.076472254780e-11      -1.017397404918e-14 
   37       1.580436472265e-10       5.937850724910e-15       2.549315095807e-13       5.558125219825e-17       9.960745499204e-11       1.022650130100e-11      -9.836520057229e-15 
   38       1.604456344611e-10       6.498611498972e-15       2.498641006295e-13       5.862363429122e-17       9.438417457054e-11       9.735981169104e-12      -8.978637993154e-15 
