# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653333638247e-10       7.726110344850e-15       2.354079263747e-13       6.933744105162e-17       8.502275612790e-11       8.859272365757e-12      -6.939748249678e-15 
   41       1.678096980612e-10       8.390401622923e-15       2.261236652839e-13       7.285038114312e-17       8.082301817837e-11       8.462103663103e-12      -6.460896703150e-15 
   42       1.703092518049e-10       9.090570344695e-15       2.154643824981e-13       7.645165182224e-17       7.689494614971e-11       8.084248792974e-12      -6.437156595299e-15 
   43       1.728349678769e-10       9.827103566939e-15       2.033855325976e-13       8.014129662400e-17       7.322816350436e-11       7.727291174502e-12      -6.725570627924e-15 
   44       1.753863857584e-10       1.060041201845e-14       1.898401171125e-13       8.391935170582e-17       6.979605826741e-11       7.391849960725e-12      -7.146610814104e-15 
   45       1.779612327384e-10       1.141087085795e-14       1.747800161050e-13       8.778584200712e-17       6.656530134219e-11       7.077708952830e-12      -7.523939201930e-15 
   46       1.805615623095e-10       1.225896606347e-14       1.581611332876e-13       9.174076870820e-17       6.353084125389e-11       6.784458692635e-12      -7.823190604283e-15 
   47       1.831888750921e-10       1.314518488848e-14       1.399393013706e-13       9.578411776997e-17       6.068917237125e-11       6.510895181889e-12      -8.050836136750e-15 
   48       1.858421270183e-10       1.406997338839e-14       1.200686088023e-13       9.991586294913e-17       5.802777930170e-11       6.254744442385e-12      -8.215920449291e-15 
   49       1.885175019530e-10       1.503373493443e-14       9.850120624891e-14       1.041359654374e-16       5.552446672565e-11       6.012586201014e-12      -8.330221770755e-15 
   50       1.912105722826e-10       1.603680230837e-14       7.519246974994e-14       1.084443734800e-16       5.315405005993e-11       5.780829868068e-12      -8.408711431209e-15 
   51       1.939239995893e-10       1.707934850427e-14       5.011859136200e-14       1.128410219467e-16       5.091212324478e-11       5.559131835875e-12      -8.470708172781e-15 
   52       1.966615311993e-10       1.816144914611e-14       2.326342878508e-14       1.173258320208e-16       4.879658403147e-11       5.347773852186e-12      -8.539313810207e-15 
   53       1.994256826299e-10       1.928310412642e-14      -5.386376824326e-15       1.218987108558e-16       4.680052092627e-11       5.146665639140e-12      -8.641311144189e-15 
   54       2.022176225856e-10       2.044423487694e-14      -3.584134229446e-14       1.265595512143e-16       4.491188941671e-11       4.955318098002e-12      -8.807338098984e-15 
   55       2.050377188033e-10       2.164473078121e-14      -6.810932239760e-14       1.313082395843e-16       4.311719009740e-11       4.773079707774e-12      -9.062178058749e-15 
   56       2.078875978451e-10       2.288460816677e-14      -1.021962362323e-13       1.361446837204e-16       4.141431478400e-11       4.599975877048e-12      -9.392407313741e-15 
   57       2.107683955635e-10       2.416388602943e-14      -1.381054187198e-13       1.410687913109e-16       3.980232453466e-11       4.436031171165e-12      -9.771015560875e-15 
   58       2.136800537703e-10       2.548253955487e-14      -1.758373497025e-13       1.460804620676e-16       3.827756314624e-11       4.281008206040e-12      -1.016637919165e-14 
   59       2.166212309794e-10       2.684049930400e-14      -2.153896046779e-13       1.511795876945e-16       3.683348929875e-11       4.134391107206e-12      -1.054205034657e-14 
   60       2.195892131508e-10       2.823765039820e-14      -2.567568055328e-13       1.563660518563e-16       3.546050869979e-11       3.995368968855e-12      -1.085654596959e-14 
   61       2.225811737503e-10       2.967375401390e-14      -2.999310056310e-13       1.616397457804e-16       3.414864020984e-11       3.863062228707e-12      -1.107281914667e-14 
   62       2.255984863622e-10       3.114819311776e-14      -3.449030575362e-13       1.670006192276e-16       3.289659326822e-11       3.737298590148e-12      -1.118963462825e-14 
   63       2.286432261069e-10       3.266016795359e-14      -3.916614662635e-13       1.724486409586e-16       3.170443940292e-11       3.617982704540e-12      -1.121689360351e-14 
   64       2.317168602197e-10       3.420876548210e-14      -4.401919472342e-13       1.779837845654e-16       3.057088165306e-11       3.504859965505e-12      -1.116666722551e-14 
   65       2.348202016066e-10       3.579295610115e-14      -4.904773907926e-13       1.836060289356e-16       2.949317663346e-11       3.397507675505e-12      -1.105329287715e-14 
