# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652354772640e-10       7.657249134526e-15       2.356003538597e-13       0.000000000000e+00       8.502275612790e-11       8.859272365757e-12      -6.939748249678e-15 
   41       1.677076881415e-10       8.318120844197e-15       2.263302462114e-13       0.000000000000e+00       8.082301817837e-11       8.462103663103e-12      -6.460896703150e-15 
   42       1.702030729047e-10       9.014794314194e-15       2.156854940579e-13       0.000000000000e+00       7.689494614971e-11       8.084248792974e-12      -6.437156595299e-15 
   43       1.727245774426e-10       9.747757643341e-15       2.036215010081e-13       0.000000000000e+00       7.322816350436e-11       7.727291174502e-12      -6.725570627924e-15 
   44       1.752717444046e-10       1.051742266149e-14       1.900912111729e-13       0.000000000000e+00       6.979605826741e-11       7.391849960725e-12      -7.146610814104e-15 
   45       1.778423041425e-10       1.132416570579e-14       1.750464409547e-13       0.000000000000e+00       6.656530134219e-11       7.077708952830e-12      -7.523939201930e-15 
   46       1.804383124021e-10       1.216847406917e-14       1.584430254587e-13       0.000000000000e+00       6.353084125389e-11       6.784458692635e-12      -7.823190604283e-15 
   47       1.830612717514e-10       1.305083641689e-14       1.402367225040e-13       0.000000000000e+00       6.068917237125e-11       6.510895181889e-12      -8.050836136750e-15 
   48       1.857101399523e-10       1.397170029930e-14       1.203815387154e-13       0.000000000000e+00       5.802777930170e-11       6.254744442385e-12      -8.215920449291e-15 
   49       1.883811025755e-10       1.493147066793e-14       9.882953577668e-14       0.000000000000e+00       5.552446672565e-11       6.012586201014e-12      -8.330221770755e-15 
   50       1.910697335215e-10       1.593048198974e-14       7.553599492311e-14       0.000000000000e+00       5.315405005993e-11       5.780829868068e-12      -8.408711431209e-15 
   51       1.937786954832e-10       1.696890910956e-14       5.047701254767e-14       0.000000000000e+00       5.091212324478e-11       5.559131835875e-12      -8.470708172781e-15 
   52       1.965117366382e-10       1.804682962716e-14       2.363634582016e-14       0.000000000000e+00       4.879658403147e-11       5.347773852186e-12      -8.539313810207e-15 
   53       1.992713731435e-10       1.916424552256e-14      -4.999471094392e-15       0.000000000000e+00       4.680052092627e-11       5.146665639140e-12      -8.641311144189e-15 
   54       2.020587741228e-10       2.032108042959e-14      -3.544106862997e-14       0.000000000000e+00       4.491188941671e-11       4.955318098002e-12      -8.807338098984e-15 
   55       2.048743077421e-10       2.151722603071e-14      -6.769641935484e-14       0.000000000000e+00       4.311719009740e-11       4.773079707774e-12      -9.062178058749e-15 
   56       2.077196017798e-10       2.275270098405e-14      -1.017715560262e-13       0.000000000000e+00       4.141431478400e-11       4.599975877048e-12      -9.392407313741e-15 
   57       2.105957934922e-10       2.402752670172e-14      -1.376699296134e-13       0.000000000000e+00       3.980232453466e-11       4.436031171165e-12      -9.771015560875e-15 
   58       2.135028260604e-10       2.534168089282e-14      -1.753921408435e-13       0.000000000000e+00       3.827756314624e-11       4.281008206040e-12      -1.016637919165e-14 
   59       2.164393593334e-10       2.669509675084e-14      -2.149358909877e-13       0.000000000000e+00       3.683348929875e-11       4.134391107206e-12      -1.054205034657e-14 
   60       2.194026805723e-10       2.808766214110e-14      -2.562959326488e-13       0.000000000000e+00       3.546050869979e-11       3.995368968855e-12      -1.085654596959e-14 
   61       2.223899648787e-10       2.951914099143e-14      -2.994644525523e-13       0.000000000000e+00       3.414864020984e-11       3.863062228707e-12      -1.107281914667e-14 
   62       2.254025890078e-10       3.098891868377e-14      -3.444324316636e-13       0.000000000000e+00       3.289659326822e-11       3.737298590148e-12      -1.118963462825e-14 
   63       2.284426318567e-10       3.249619781098e-14      -3.911885044234e-13       0.000000000000e+00       3.170443940292e-11       3.617982704540e-12      -1.121689360351e-14 
   64       2.315115647110e-10       3.404006771447e-14      -4.397185188791e-13       0.000000000000e+00       3.057088165306e-11       3.504859965505e-12      -1.116666722551e-14 
   65       2.346102048127e-10       3.561950120325e-14      -4.900055011794e-13       0.000000000000e+00       2.949317663346e-11       3.397507675505e-12      -1.105329287715e-14 
   66       2.377386689286e-10       3.723335127285e-14      -5.420296200675e-13       0.000000000000e+00       2.846705659910e-11       3.295326212422e-12      -1.089347043720e-14 
   67       2.408963269187e-10       3.888034782433e-14      -5.957681513754e-13       0.000000000000e+00       2.748665150968e-11       3.197530196132e-12      -1.070635854620e-14 
   68       2.440824096473e-10       4.055922907072e-14      -6.511970348138e-13       0.000000000000e+00       2.654605781156e-11       3.103349484773e-12      -1.050999454869e-14 
