# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.730449353399e-10       8.067153954543e-15       2.471219137896e-13       7.142113504599e-17       8.894512505101e-11       9.239409991054e-12      -7.471776271792e-15 
   41       1.756348848044e-10       8.760699723154e-15       2.373976289789e-13       7.504423798859e-17       8.454620155550e-11       8.820863174173e-12      -6.899663963036e-15 
   42       1.782470783149e-10       9.491710487432e-15       2.261535385233e-13       7.875854858300e-17       8.043194007402e-11       8.430921507370e-12      -6.736483536374e-15 
   43       1.808851879081e-10       1.026078714760e-14       2.133935445515e-13       8.256406746636e-17       7.659145919246e-11       8.066977746578e-12      -6.881707737133e-15 
   44       1.835494722574e-10       1.106846792124e-14       1.991299506155e-13       8.646078097065e-17       7.299687191205e-11       7.724452396425e-12      -7.206910639154e-15 
   45       1.862383136899e-10       1.191524068751e-14       1.833682015214e-13       9.044866469154e-17       6.961325622447e-11       7.398269519923e-12      -7.581492647367e-15 
   46       1.889541906502e-10       1.280159219010e-14       1.660548486946e-13       9.452769651666e-17       6.643531211308e-11       7.088164674776e-12      -7.963173691898e-15 
   47       1.916989035747e-10       1.372796793573e-14       1.471146159435e-13       9.869784673472e-17       6.345936034304e-11       6.794708037570e-12      -8.331560373204e-15 
   48       1.944716170374e-10       1.469475549604e-14       1.264641153965e-13       1.029590741508e-16       6.067228570907e-11       6.517760724033e-12      -8.662837455241e-15 
   49       1.972686229523e-10       1.570228211140e-14       1.040112941038e-13       1.073113258723e-16       5.805083522941e-11       6.256418062439e-12      -8.929590904647e-15 
   50       2.000854481090e-10       1.675079721457e-14       7.967286954659e-14       1.117545418603e-16       5.556862549071e-11       6.009385510523e-12      -9.110510900477e-15 
   51       2.029244005649e-10       1.784041996846e-14       5.343349941730e-14       1.162886705388e-16       5.322103522320e-11       5.776358305303e-12      -9.223016375626e-15 
