# DLM: Best estimate lensing noise spectra [l(l+1)/2pi] N_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:MV (DIAG)              3:TT-TT                  4:TE-TE                  5:EE-EE                  6:BB-BB                  7:EB-EB                  8:TB-TB              
   45       1.501776490543e-12       1.348263175244e-11       8.263428245232e-12       5.684250530485e-12                     -nan       3.737715487711e-12       3.673006085609e-11 
   46       1.439148741289e-12       1.291537943387e-11       7.930922681042e-12       5.452052290820e-12                     -nan       3.578039597945e-12       3.516212557598e-11 
   47       1.380654687570e-12       1.238554717269e-11       7.620418941725e-12       5.235198309659e-12                     -nan       3.428905715637e-12       3.369772198662e-11 
   48       1.326006725065e-12       1.189053176466e-11       7.330389291752e-12       5.032622371073e-12                     -nan       3.289579544316e-12       3.232963902606e-11 
   49       1.274706826949e-12       1.142582780712e-11       7.058180349218e-12       4.842474837195e-12                     -nan       3.158792424239e-12       3.104541740901e-11 
   50       1.226193606818e-12       1.098635725219e-11       6.800799241496e-12       4.662669935066e-12                     -nan       3.035115005998e-12       2.983101959422e-11 
   51       1.180364246866e-12       1.057118790349e-11       6.557704019276e-12       4.492828227694e-12                     -nan       2.918283298750e-12       2.868385335316e-11 
   52       1.137169147801e-12       1.017986891760e-11       6.328636275277e-12       4.332767914439e-12                     -nan       2.808168895212e-12       2.760265798195e-11 
   53       1.096455982024e-12       9.811021018451e-12       6.112787224934e-12       4.181924367540e-12                     -nan       2.704382825218e-12       2.658361359887e-11 
   54       1.057962780448e-12       9.462274040214e-12       5.908760611903e-12       4.039324346339e-12                     -nan       2.606258040960e-12       2.562016911521e-11 
   55       1.021397053379e-12       9.130982070052e-12       5.714996361762e-12       3.903880744009e-12                     -nan       2.513050193087e-12       2.470501417725e-11 
   56       9.867120075850e-13       8.816720001552e-12       5.531249767909e-12       3.775421645074e-12                     -nan       2.424638491271e-12       2.383696275138e-11 
   57       9.538868385052e-13       8.519297780226e-12       5.357414793287e-12       3.653871742065e-12                     -nan       2.340968273986e-12       2.301547824666e-11 
   58       9.228432244271e-13       8.238005680515e-12       5.193076790337e-12       3.538941192564e-12                     -nan       2.261839158204e-12       2.223859279427e-11 
   59       8.934417652855e-13       7.971582144777e-12       5.037493357738e-12       3.430112321718e-12                     -nan       2.186896029478e-12       2.150281874971e-11 
   60       8.654784214649e-13       7.718181622266e-12       4.889575197147e-12       3.326626324739e-12                     -nan       2.115620032026e-12       2.080306019487e-11 
   61       8.387412688115e-13       7.475887415098e-12       4.748190437870e-12       3.227694875338e-12                     -nan       2.047472432735e-12       2.013402594978e-11 
   62       8.132037067130e-13       7.244457490835e-12       4.613200741421e-12       3.133220537730e-12                     -nan       1.982384331054e-12       1.949503944207e-11 
   63       7.888684956013e-13       7.023915249356e-12       4.484624850097e-12       3.043215198110e-12                     -nan       1.920361381736e-12       1.888615633665e-11 
   64       7.657096528031e-13       6.814024521043e-12       4.362326937024e-12       2.957583388453e-12                     -nan       1.861336543568e-12       1.830671824759e-11 
   65       7.436708051289e-13       6.614274698423e-12       4.246007726287e-12       2.876116125114e-12                     -nan       1.805165920038e-12       1.775531188196e-11 
   66       7.226635414626e-13       6.423865867810e-12       4.135195613064e-12       2.798484747431e-12                     -nan       1.751624599986e-12       1.722972818379e-11 
