# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653322304135e-10       7.726044915037e-15       2.354051375663e-13       6.927025086312e-17       8.489600353799e-11       8.853743085287e-12      -6.939947685300e-15 
   41       1.678085047153e-10       8.390338276371e-15       2.261216986776e-13       7.278107402586e-17       8.070159159476e-11       8.456783076800e-12      -6.461037346059e-15 
   42       1.703083290498e-10       9.090509027314e-15       2.154636339527e-13       7.638009653705e-17       7.677854129148e-11       8.079239310227e-12      -6.437164464519e-15 
   43       1.728344698808e-10       9.827043862182e-15       2.033860528672e-13       8.006731708854e-17       7.311648468349e-11       7.722639122470e-12      -6.725437750699e-15 
   44       1.753862509015e-10       1.060035308631e-14       1.898415409294e-13       8.384272124536e-17       6.968883809340e-11       7.387533603636e-12      -7.146408896900e-15 
   45       1.779612012456e-10       1.141081147179e-14       1.747816150149e-13       8.770628467228e-17       6.646230906111e-11       7.073642811695e-12      -7.523808952769e-15 
   46       1.805613909381e-10       1.225890498289e-14       1.581622935065e-13       9.165798492416e-17       6.343184916719e-11       6.780554220335e-12      -7.823247462051e-15 
   47       1.831884096921e-10       1.314512099107e-14       1.399396967221e-13       9.569779248717e-17       6.059395436476e-11       6.507080744949e-12      -8.051135949920e-15 
   48       1.858413218533e-10       1.406990571167e-14       1.200682600252e-13       9.982566725771e-17       5.793612208425e-11       6.250970042213e-12      -8.216447487050e-15 
   49       1.885164401006e-10       1.503366272043e-14       9.850054357455e-14       1.040415583441e-16       5.543618192141e-11       6.008828476839e-12      -8.330876078359e-15 
   50       1.912094519612e-10       1.603672497265e-14       7.519227029413e-14       1.083454082356e-16       5.306897813331e-11       5.777091934049e-12      -8.409320329250e-15 
   51       1.939230048580e-10       1.707926534866e-14       5.011949331616e-14       1.127371671033e-16       5.083010832852e-11       5.555425314089e-12      -8.471119435638e-15 
   52       1.966607887647e-10       1.816135926265e-14       2.326575958687e-14       1.172167820385e-16       4.871747142932e-11       5.344114363953e-12      -8.539428202661e-15 
   53       1.994252505016e-10       1.928300637219e-14      -5.382656614868e-15       1.217841930318e-16       4.672416336555e-11       5.143073346257e-12      -8.641092595243e-15 
   54       2.022174781564e-10       2.044412784779e-14      -3.583669789418e-14       1.264393329800e-16       4.483815373008e-11       4.951818269324e-12      -8.806824386956e-15 
   55       2.050377658656e-10       2.164461286333e-14      -6.810459143436e-14       1.311821324331e-16       4.304595921856e-11       4.769701387259e-12      -9.061474144399e-15 
   56       2.078877372376e-10       2.288447784683e-14      -1.021921995671e-13       1.360125351974e-16       4.134547333839e-11       4.596744245803e-12      -9.391620398406e-15 
   57       2.107685469886e-10       2.416374200844e-14      -1.381026585822e-13       1.409304866210e-16       3.973575751156e-11       4.432964693350e-12      -9.770234838367e-15 
   58       2.136801596656e-10       2.548238079077e-14      -1.758362130175e-13       1.459359293819e-16       3.821315955409e-11       4.278117512886e-12      -1.016567201434e-14 
   59       2.166212605761e-10       2.684032505618e-14      -2.153901646856e-13       1.510288036804e-16       3.677114605035e-11       4.131677831424e-12      -1.054145820678e-14 
   60       2.195891667161e-10       2.823746027402e-14      -2.567588217017e-13       1.562090474306e-16       3.540013472747e-11       3.992824529444e-12      -1.085608029628e-14 
   61       2.225810795548e-10       2.967354801525e-14      -2.999339559581e-13       1.614766020378e-16       3.409015701030e-11       3.860668815574e-12      -1.107246337231e-14 
   62       2.255983734920e-10       3.114797168319e-14      -3.449064108568e-13       1.668314308110e-16       3.283992328034e-11       3.735037437402e-12      -1.118936712872e-14 
   63       2.286431163134e-10       3.265993200734e-14      -3.916647656401e-13       1.722735050430e-16       3.164950421711e-11       3.615836630548e-12      -1.121669414375e-14 
   64       2.317167667007e-10       3.420851648698e-14      -4.401948246380e-13       1.778027991509e-16       3.051760388700e-11       3.502813829239e-12      -1.116651738336e-14 
   65       2.348201277372e-10       3.579269611326e-14      -4.904795824276e-13       1.834192910457e-16       2.944148191711e-11       3.395548854648e-12      -1.105317648738e-14 
   66       2.379533004118e-10       3.741132209141e-14      -5.424991889937e-13       1.891229625017e-16       2.841687566909e-11       3.293445103242e-12      -1.089337405554e-14 
   67       2.411156371242e-10       3.906312256287e-14      -5.962309148884e-13       1.949137995247e-16       2.743792241301e-11       3.195720735128e-12      -1.070627193362e-14 
   68       2.443063528670e-10       4.074683394181e-14      -6.516506813877e-13       2.007917976368e-16       2.649872604123e-11       3.101608899644e-12      -1.050991061594e-14 
   69       2.475266065106e-10       4.246163315427e-14      -7.087380888730e-13       2.067569781443e-16       2.559859981310e-11       3.011025220673e-12      -1.030940973185e-14 
   70       2.507777596526e-10       4.420678749600e-14      -7.674723494255e-13       2.128093758439e-16       2.473775099904e-11       2.924020353217e-12      -1.010653865443e-14 
   71       2.540607271123e-10       4.598152792946e-14      -8.278308170729e-13       2.189490348863e-16       2.391569520888e-11       2.840579509710e-12      -9.903184046827e-15 
   72       2.573759472549e-10       4.778504924875e-14      -8.897889929744e-13       2.251760092704e-16       2.313122062554e-11       2.760618994589e-12      -9.701352110388e-15 
   73       2.607233523174e-10       4.961651024464e-14      -9.533205306068e-13       2.314903633383e-16       2.238235223875e-11       2.683982738857e-12      -9.503170832826e-15 
   74       2.641023387333e-10       5.147503386952e-14      -1.018397240950e-12       2.378921722704e-16       2.166631607870e-11       2.610438834654e-12      -9.310892236359e-15 
   75       2.675117374578e-10       5.335970740239e-14      -1.084989097672e-12       2.443815225800e-16       2.097950344980e-11       2.539676069822e-12      -9.126894625858e-15 
   76       2.709503974386e-10       5.526951914830e-14      -1.153063846049e-12       2.509585160203e-16       2.031836720471e-11       2.471386104156e-12      -8.953371057419e-15 
   77       2.744191244607e-10       5.720315484548e-14      -1.222585735935e-12       2.576232810346e-16       1.968237831829e-11       2.405534958866e-12      -8.791324188925e-15 
   78       2.779190435882e-10       5.915916425931e-14      -1.293516566090e-12       2.643759643028e-16       1.907154598392e-11       2.342134968547e-12      -8.641391368483e-15 
   79       2.814510005600e-10       6.113602023623e-14      -1.365816057055e-12       2.712167280700e-16       1.848551701818e-11       2.281161849863e-12      -8.504138034845e-15 
   80       2.850155446873e-10       6.313211756727e-14      -1.439441848214e-12       2.781457507116e-16       1.792355920679e-11       2.222552992266e-12      -8.380053531256e-15 
