# Matter power spectrum P(k) at redshift z=0
# for k=1.04554e-05 to 125.152 h/Mpc,
# number of wavenumbers equal to 775
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.352887998821e-02       2.554180658038e+04 
       1.365809528315e-02       2.558739307165e+04 
       1.378734691708e-02       2.563082327560e+04 
       1.391663500584e-02       2.567200304097e+04 
       1.404595968828e-02       2.571110279135e+04 
       1.417532112590e-02       2.574789030882e+04 
       1.430471950252e-02       2.578271065883e+04 
       1.443415502400e-02       2.581522709422e+04 
       1.456362791793e-02       2.584581753409e+04 
       1.469313843345e-02       2.587428288399e+04 
       1.482268684101e-02       2.590076278366e+04 
       1.495227343220e-02       2.592524105008e+04 
       1.508189851960e-02       2.594772252043e+04 
       1.521156243667e-02       2.596826661535e+04 
       1.534126553764e-02       2.598689731730e+04 
       1.547100819741e-02       2.600369880764e+04 
       1.560079081154e-02       2.601846013694e+04 
       1.573061379621e-02       2.603147467510e+04 
       1.586047758820e-02       2.604264574640e+04 
       1.599038264489e-02       2.605199949478e+04 
       1.612032944433e-02       2.605958513430e+04 
       1.625031848528e-02       2.606544935002e+04 
       1.638035028725e-02       2.606953834827e+04 
       1.651042539066e-02       2.607194486118e+04 
       1.664054435687e-02       2.607265505520e+04 
       1.677070776836e-02       2.607170370539e+04 
       1.690091622888e-02       2.606913353300e+04 
       1.703117036359e-02       2.606500749841e+04 
       1.716147081923e-02       2.605912471685e+04 
       1.729181826437e-02       2.605176518892e+04 
       1.742221338958e-02       2.604286109099e+04 
       1.755265690766e-02       2.603244481070e+04 
       1.768314955393e-02       2.602048823148e+04 
       1.781369208646e-02       2.600707971924e+04 
       1.794428528636e-02       2.599219925469e+04 
       1.807492995810e-02       2.597586279406e+04 
       1.820562692979e-02       2.595811015158e+04 
       1.833637705353e-02       2.593898827158e+04 
       1.846718120578e-02       2.591853311301e+04 
       1.859804028768e-02       2.589659778875e+04 
       1.872895522547e-02       2.587338919809e+04 
       1.885992697090e-02       2.584886997074e+04 
       1.899095650158e-02       2.582304481288e+04 
       1.912204482150e-02       2.579594876617e+04 
       1.925319296143e-02       2.576759082590e+04 
       1.938440197939e-02       2.573802990984e+04 
       1.951567296116e-02       2.570725204721e+04 
       1.964700702077e-02       2.567523824118e+04 
       1.977840530105e-02       2.564206640662e+04 
       1.990986897412e-02       2.560775608562e+04 
       2.004139924201e-02       2.557231217126e+04 
       2.017299733723e-02       2.553574032276e+04 
       2.030466452334e-02       2.549805228935e+04 
       2.043640209561e-02       2.545927406091e+04 
       2.056821138165e-02       2.541944130885e+04 
       2.070009374206e-02       2.537857925724e+04 
       2.083205057117e-02       2.533669757444e+04 
       2.096408329768e-02       2.529379001711e+04 
       2.109619338545e-02       2.524990048075e+04 
       2.122838233423e-02       2.520501530604e+04 
       2.136065168043e-02       2.515923606578e+04 
       2.149300299796e-02       2.511246757120e+04 
       2.162543789904e-02       2.506476789589e+04 
       2.175795803506e-02       2.501626700913e+04 
       2.189056509746e-02       2.496668478425e+04 
       2.202326081866e-02       2.491637491513e+04 
       2.215604697296e-02       2.486518307961e+04 
       2.228892537758e-02       2.481324207861e+04 
       2.242189789360e-02       2.476029689326e+04 
       2.255496642701e-02       2.470667359405e+04 
       2.268813292978e-02       2.465220387026e+04 
       2.282139940096e-02       2.459698209597e+04 
       2.295476788780e-02       2.454100388683e+04 
       2.308824048693e-02       2.448430980670e+04 
       2.322181934555e-02       2.442688965704e+04 
       2.335550666270e-02       2.436875124547e+04 
       2.348930469050e-02       2.430990105141e+04 
       2.362321573550e-02       2.425039424652e+04 
       2.375724216005e-02       2.419022765976e+04 
       2.389138638367e-02       2.412937242660e+04 
       2.402565088455e-02       2.406790612990e+04 
       2.416003820100e-02       2.400583525608e+04 
       2.429455093304e-02       2.394315755898e+04 
       2.442919174396e-02       2.387981949601e+04 
       2.456396336200e-02       2.381596049585e+04 
       2.469886858200e-02       2.375154102813e+04 
       2.483391026722e-02       2.368653812750e+04 
       2.496909135111e-02       2.362110141081e+04 
       2.510441483921e-02       2.355500170008e+04 
       2.523988381106e-02       2.348841589032e+04 
       2.537550142220e-02       2.342143342923e+04 
       2.551127090629e-02       2.335386945486e+04 
       2.564719557716e-02       2.328589174697e+04 
       2.578327883110e-02       2.321742729364e+04 
       2.591952414909e-02       2.314856018736e+04 
