# dimensionless DLM: total delensed [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   41       1.755325203555e-10       8.704745293925e-15       2.376175446188e-13       1.860922135100e-17       8.454620155550e-11       8.820863174173e-12       2.740648120042e+02 
   42       1.781405462718e-10       9.433045999149e-15       2.263888926800e-13       1.951783853898e-17       8.043194007402e-11       8.430921507370e-12       2.874338272240e+02 
   43       1.807744392507e-10       1.019935661633e-14       2.136446967594e-13       2.044814373084e-17       7.659145919246e-11       8.066977746578e-12       3.011211523299e+02 
   44       1.834344607242e-10       1.100421668664e-14       1.993972386376e-13       2.140013609119e-17       7.299687191205e-11       7.724452396425e-12       3.151267873220e+02 
   45       1.861189956888e-10       1.184811550111e-14       1.836519312333e-13       2.237381440114e-17       6.961325622447e-11       7.398269519923e-12       3.294507322002e+02 
   46       1.888305243123e-10       1.273154129115e-14       1.663552509627e-13       2.336917756330e-17       6.643531211308e-11       7.088164674776e-12       3.440929869647e+02 
   47       1.915708484298e-10       1.365494114024e-14       1.474318268173e-13       2.438622420051e-17       6.345936034304e-11       6.794708037570e-12       3.590535516153e+02 
   48       1.943391339243e-10       1.461870429231e-14       1.267981648566e-13       2.542495249202e-17       6.067228570907e-11       6.517760724033e-12       3.743324261521e+02 
   49       1.971316739259e-10       1.562315975791e-14       1.043620943452e-13       2.648536015484e-17       5.805083522941e-11       6.256418062439e-12       3.899296105751e+02 
   50       1.999439966120e-10       1.666855879805e-14       8.004021339778e-14       2.756744459052e-17       5.556862549071e-11       6.009385510523e-12       4.058451048843e+02 
   51       2.027784124808e-10       1.775502232404e-14       5.381709348809e-14       2.867120341544e-17       5.322103522320e-11       5.776358305303e-12       4.220789090797e+02 
   52       2.056381063757e-10       1.888257508212e-14       2.570118794738e-14       2.979663404225e-17       5.100585641891e-11       5.556918248217e-12       4.386310231613e+02 
   53       2.085248484688e-10       2.005115649616e-14      -4.291476764272e-15       3.094373351645e-17       4.891584475121e-11       5.350098288212e-12       4.555014471290e+02 
   54       2.114388677944e-10       2.126061756227e-14      -3.613700788602e-14       3.211249850552e-17       4.693838055236e-11       5.154346154851e-12       4.726901809829e+02 
   55       2.143797033516e-10       2.251079212436e-14      -6.981277713393e-14       3.330292544164e-17       4.505932115753e-11       4.967979401997e-12       4.901972247230e+02 
   56       2.173492947278e-10       2.380173855008e-14      -1.053281408906e-13       3.451501101616e-17       4.327645528863e-11       4.790766228476e-12       5.080225783493e+02 
   57       2.203494377365e-10       2.513355265293e-14      -1.427008380563e-13       3.574875178892e-17       4.158879720382e-11       4.622673667729e-12       5.261662418618e+02 
   58       2.233807876600e-10       2.650629836841e-14      -1.819483071144e-13       3.700414404070e-17       3.999251627023e-11       4.463393737849e-12       5.446282152605e+02 
   59       2.264427708702e-10       2.792000754653e-14      -2.230877601258e-13       3.828118376835e-17       3.848076124142e-11       4.312326220555e-12       5.634084985453e+02 
   60       2.295334964493e-10       2.937467974434e-14      -2.661362567240e-13       3.957986667990e-17       3.704348453503e-11       4.168561440157e-12       5.825070917163e+02 
   61       2.326508396213e-10       3.087017538106e-14      -3.111059772518e-13       4.090018835795e-17       3.567023342926e-11       4.031143310911e-12       6.019239947735e+02 
   62       2.357961761683e-10       3.240586764792e-14      -3.579886349394e-13       4.224214480354e-17       3.435965330570e-11       3.899966434141e-12       6.216592077169e+02 
   63       2.389713332281e-10       3.398091174200e-14      -4.067676802542e-13       4.360573200630e-17       3.311181539650e-11       3.775050721572e-12       6.417127305465e+02 
   64       2.421774412646e-10       3.559434108921e-14      -4.574227162325e-13       4.499094578735e-17       3.192535812614e-11       3.656270732233e-12       6.620845632623e+02 
   65       2.454148828696e-10       3.724506375324e-14      -5.099294201469e-13       4.639778179982e-17       3.079740552704e-11       3.543347344135e-12       6.827747058642e+02 
   66       2.486832415639e-10       3.893185884459e-14      -5.642594651738e-13       4.782623552929e-17       2.972348565527e-11       3.435839425942e-12       7.037831583524e+02 
   67       2.519812505983e-10       4.065337292958e-14      -6.203804420601e-13       4.927630229426e-17       2.869744900612e-11       3.333135508643e-12       7.251099207267e+02 
   68       2.553075919250e-10       4.240826211378e-14      -6.782594949508e-13       5.074797738648e-17       2.771311125716e-11       3.234613829761e-12       7.467549929872e+02 
