# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.730779180144e-10       8.068408718093e-15       2.471630177687e-13       7.133729126630e-17       8.913173122013e-11       9.223002256216e-12      -7.308662170108e-15 
   41       1.756691134652e-10       8.761871761457e-15       2.374709759577e-13       7.495455989324e-17       8.472446781678e-11       8.809018137486e-12      -6.815952977397e-15 
   42       1.782737504126e-10       9.492628667546e-15       2.262640517053e-13       7.866350965533e-17       8.060235413442e-11       8.416776191262e-12      -6.779473043283e-15 
   43       1.809004237582e-10       1.026141299160e-14       2.135364329987e-13       8.246420053879e-17       7.675450019383e-11       8.047217249439e-12      -7.057390229137e-15 
   44       1.835554066679e-10       1.106892353940e-14       1.992888439671e-13       8.635667566100e-17       7.315298074278e-11       7.700113383568e-12      -7.471455844509e-15 
   45       1.862425741329e-10       1.191579127280e-14       1.835169247179e-13       9.034095113048e-17       6.976282150676e-11       7.374411276514e-12      -7.846725416262e-15 
   46       1.889638074650e-10       1.280247216105e-14       1.661716623045e-13       9.441698407213e-17       6.657871452790e-11       7.069626109699e-12      -8.150190115709e-15 
   47       1.917182335441e-10       1.372931945718e-14       1.471875386633e-13       9.858469355570e-17       6.359697192698e-11       6.784690169167e-12      -8.389758777714e-15 
   48       1.945017694322e-10       1.469660895392e-14       1.264929325085e-13       1.028439676604e-16       6.080445121124e-11       6.517468473022e-12      -8.576042913465e-15 
   49       1.973068536018e-10       1.570453550490e-14       1.040096764240e-13       1.071946620670e-16       5.817785208237e-11       6.264682023041e-12      -8.722521330497e-15 
   50       2.001256310083e-10       1.675323761765e-14       7.966665985380e-14       1.116366056853e-16       5.569073835294e-11       6.022867600517e-12      -8.844882349222e-15 
   51       2.029611510839e-10       1.784288717342e-14       5.344601857812e-14       1.161696226022e-16       5.333848211398e-11       5.791742344708e-12      -8.958458043377e-15 
   52       2.058187447238e-10       1.897361804742e-14       2.534871725451e-14       1.207935136582e-16       5.111887486932e-11       5.571619786886e-12      -9.080378108948e-15 
   53       2.087027323825e-10       2.014549805885e-14      -4.618187782827e-15       1.255080488807e-16       4.902466260169e-11       5.362425820875e-12      -9.230454329125e-15 
   54       2.116163178361e-10       2.135852681309e-14      -3.644133044783e-14       1.303129664080e-16       4.704320611527e-11       5.163670733219e-12      -9.431306492985e-15 
   55       2.145616727406e-10       2.261266600525e-14      -7.010780150565e-14       1.352080020284e-16       4.516033990426e-11       4.974678438013e-12      -9.700776057264e-15 
   56       2.175404582893e-10       2.390794408981e-14      -1.056279164392e-13       1.401929888586e-16       4.337384946278e-11       4.795404944245e-12      -1.002667172867e-14 
   57       2.205532470615e-10       2.524437383356e-14      -1.430177216333e-13       1.452677805417e-16       4.168274709137e-11       4.625774221946e-12      -1.038597069851e-14 
   58       2.235992469248e-10       2.662192125883e-14      -1.822925581217e-13       1.504322229139e-16       4.008319446085e-11       4.465421253400e-12      -1.075181047322e-14 
