# DLM: Best estimate lensing noise spectra [l(l+1)/2pi] N_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:MV (DIAG)              3:TT-TT                  4:TE-TE                  5:EE-EE                  6:BB-BB                  7:EB-EB                  8:TB-TB              
   45       1.488688184544e-12       1.340336294396e-11       8.220630627386e-12       5.666094143365e-12                     -nan       3.685110155459e-12       3.619471156261e-11 
   46       1.426599626455e-12       1.283944974115e-11       7.889838160887e-12       5.434638055770e-12                     -nan       3.527683498511e-12       3.464964745312e-11 
   47       1.368609168100e-12       1.231273648189e-11       7.580934121581e-12       5.218477189989e-12                     -nan       3.380650345503e-12       3.320660459994e-11 
   48       1.314431680140e-12       1.182063527042e-11       7.292398646226e-12       5.016548737785e-12                     -nan       3.243286744218e-12       3.185847714407e-11 
   49       1.263573426365e-12       1.135866720223e-11       7.021592031265e-12       4.827008972523e-12                     -nan       3.114341905410e-12       3.059298755359e-11 
   50       1.215477858034e-12       1.092178409646e-11       6.765536833876e-12       4.647778787058e-12                     -nan       2.992406613304e-12       2.939630306009e-11 
   51       1.170043039654e-12       1.050905923692e-11       6.523693894168e-12       4.478479957251e-12                     -nan       2.877220596802e-12       2.826586926326e-11 
   52       1.127219795785e-12       1.012004442933e-11       6.295806132553e-12       4.318931263682e-12                     -nan       2.768657258535e-12       2.720044386383e-11 
   53       1.086857109592e-12       9.753368508627e-12       6.081068931570e-12       4.168569883158e-12                     -nan       2.666333107996e-12       2.619626271130e-11 
   54       1.048695269390e-12       9.406675249239e-12       5.878093232813e-12       4.026425685333e-12                     -nan       2.569590493451e-12       2.524687028370e-11 
   55       1.012444306577e-12       9.077334300985e-12       5.685327005152e-12       3.891415037545e-12                     -nan       2.477695550271e-12       2.434506286772e-11 
   56       9.780578283882e-13       8.764923056182e-12       5.502526799925e-12       3.763366573901e-12                     -nan       2.390529190506e-12       2.348967174303e-11 
   57       9.455152067107e-13       8.469252576639e-12       5.329587123022e-12       3.642205227774e-12                     -nan       2.308037523550e-12       2.268016815859e-11 
   58       9.147387931392e-13       8.189617310451e-12       5.166095462294e-12       3.527642083134e-12                     -nan       2.230022989533e-12       2.191461296034e-11 
   59       8.855903885615e-13       7.924763120197e-12       5.011313243101e-12       3.419161119547e-12                     -nan       2.156135476292e-12       2.118956938399e-11 
   60       8.578677127435e-13       7.672855311126e-12       4.864156783868e-12       3.316005957168e-12                     -nan       2.085863436340e-12       2.050001584780e-11 
   61       8.313606691897e-13       7.431988460077e-12       4.723500050532e-12       3.217390788979e-12                     -nan       2.018675724741e-12       1.984073835549e-11 
   62       8.060428845553e-13       7.201921957470e-12       4.589205415097e-12       3.123218490709e-12                     -nan       1.954504412156e-12       1.921107021402e-11 
   63       7.819170931889e-13       6.982679064692e-12       4.461291520119e-12       3.033500910714e-12                     -nan       1.893355074468e-12       1.861106628725e-11 
   64       7.589575348414e-13       6.774025000868e-12       4.339623236835e-12       2.948142886166e-12                     -nan       1.835161615332e-12       1.804007780175e-11 
   65       7.371083215111e-13       6.575452161988e-12       4.223902831144e-12       2.866936101344e-12                     -nan       1.779782165401e-12       1.749671208649e-11 
   66       7.162818042879e-13       6.386165340023e-12       4.113661129592e-12       2.789552945921e-12                     -nan       1.726994981555e-12       1.697879231248e-11 
   67       6.963569401980e-13       6.205066942051e-12       4.008248685359e-12       2.715540373252e-12                     -nan       1.676494346130e-12       1.648331723249e-11 
   68       6.772120372183e-13       6.031053556803e-12       3.907012391966e-12       2.644442833382e-12                     -nan       1.627972965319e-12       1.600727011138e-11 
   69       6.588343446124e-13       5.864008474288e-12       3.809886627202e-12       2.576213726028e-12                     -nan       1.581397718658e-12       1.555032584730e-11 
   70       6.412298366388e-13       5.703984647794e-12       3.716906571063e-12       2.510876668625e-12                     -nan       1.536782673565e-12       1.511262257948e-11 
   71       6.243900587459e-13       5.550904444844e-12       3.628029338466e-12       2.448401008614e-12                     -nan       1.494105675223e-12       1.469394282210e-11 
   72       6.082913736538e-13       5.404552829170e-12       3.543129888143e-12       2.388698982873e-12                     -nan       1.453306458063e-12       1.429369492242e-11 
   73       5.928942074357e-13       5.264570542684e-12       3.461996931531e-12       2.331622877154e-12                     -nan       1.414284757247e-12       1.391089451893e-11 
   74       5.781422955997e-13       5.130447287449e-12       3.384328841668e-12       2.276962185506e-12                     -nan       1.376898420155e-12       1.354414599941e-11 
   75       5.639619291703e-13       5.001514907648e-12       3.309729562085e-12       2.224440769716e-12                     -nan       1.340961517863e-12       1.319162395907e-11 
   76       5.502806686506e-13       4.877116784530e-12       3.237809786000e-12       2.173787216645e-12                     -nan       1.306291351051e-12       1.285153469333e-11 
   77       5.370890922449e-13       4.757166754751e-12       3.168520838273e-12       2.124967001469e-12                     -nan       1.272863538304e-12       1.252363881993e-11 
   78       5.243889903195e-13       4.641680200033e-12       3.101874528597e-12       2.077987696481e-12                     -nan       1.240681909250e-12       1.220797391746e-11 
   79       5.121745474733e-13       4.530603723255e-12       3.037841381346e-12       2.032828211069e-12                     -nan       1.209731247504e-12       1.190439056507e-11 
   80       5.004319878245e-13       4.423811943810e-12       2.976348703127e-12       1.989437452135e-12                     -nan       1.179976404769e-12       1.161254364410e-11 
   81       4.891392202965e-13       4.321104292970e-12       2.917278650325e-12       1.947732984503e-12                     -nan       1.151361414942e-12       1.133188363968e-11 
   82       4.782654839049e-13       4.222201809247e-12       2.860466296647e-12       1.907599691341e-12                     -nan       1.123808608214e-12       1.106164794235e-11 
   83       4.677709930427e-13       4.126743933750e-12       2.805697700668e-12       1.868888434568e-12                     -nan       1.097217725175e-12       1.080085214970e-11 
   84       4.576169634149e-13       4.034379193572e-12       2.752764284396e-12       1.831453819177e-12                     -nan       1.071491040088e-12       1.054853673476e-11 
   85       4.477983765316e-13       3.945061544643e-12       2.701640559773e-12       1.795277613713e-12                     -nan       1.046615456630e-12       1.030457308954e-11 
   86       4.383160217778e-13       3.858797509116e-12       2.652332459393e-12       1.760363429360e-12                     -nan       1.022592460915e-12       1.006897577971e-11 
   87       4.291664211110e-13       3.775555052614e-12       2.604822673591e-12       1.726698762894e-12                     -nan       9.994128802338e-13       9.841654716943e-12 
   88       4.203416488113e-13       3.695261957543e-12       2.559069664394e-12       1.694254314307e-12                     -nan       9.770564342810e-13       9.622410752411e-12 
   89       4.118291512330e-13       3.617804196405e-12       2.515006679470e-12       1.662983304427e-12                     -nan       9.554912863917e-13       9.410931270305e-12 
   90       4.036115665552e-13       3.543024305106e-12       2.472540766079e-12       1.632820792545e-12                     -nan       9.346735947716e-13       9.206785781306e-12 
   91       3.956665445332e-13       3.470719756268e-12       2.431551785019e-12       1.603682994035e-12                     -nan       9.145470637288e-13       9.009421516079e-12 
   92       3.879665662488e-13       3.400641332540e-12       2.391891424581e-12       1.575466597977e-12                     -nan       8.950424949065e-13       8.818159018771e-12 
   93       3.804857514421e-13       3.332554645811e-12       2.353420245938e-12       1.548074458493e-12                     -nan       8.760948025093e-13       8.632359216073e-12 
   94       3.732218431671e-13       3.266438812024e-12       2.316127334469e-12       1.521498570901e-12                     -nan       8.576979610788e-13       8.451962938628e-12 
   95       3.661772117528e-13       3.202314788518e-12       2.280026904630e-12       1.495748371602e-12                     -nan       8.398575305940e-13       8.277024774055e-12 
   96       3.593520786361e-13       3.140184140849e-12       2.245121414173e-12       1.470825160269e-12                     -nan       8.225737225871e-13       8.107546796290e-12 
