# dimensionless DLM: total delensed [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   41       1.756015662986e-10       8.706319491611e-15       2.376690893617e-13       1.849613094268e-17       8.539643843171e-11       8.829910765930e-12       2.673172678862e+05 
   42       1.782034824163e-10       9.434422600782e-15       2.264740800856e-13       1.939912648568e-17       8.125689341302e-11       8.437154423405e-12       2.807624266792e+05 
   43       1.808273462406e-10       1.020050254659e-14       2.137585860371e-13       2.032367071116e-17       7.739224880743e-11       8.067096070941e-12       2.945511830965e+05 
   44       1.834795420413e-10       1.100525967966e-14       1.995237327362e-13       2.126976276588e-17       7.377453306833e-11       7.719539415706e-12       3.086675169871e+05 
   45       1.861640475640e-10       1.184932664996e-14       1.837654848188e-13       2.223740142978e-17       7.036869732405e-11       7.393457550135e-12       3.230971001418e+05 
   46       1.888827409353e-10       1.273316146064e-14       1.664345680795e-13       2.322658560492e-17       6.716945328345e-11       7.088355804429e-12       3.378430518502e+05 
   47       1.916347103359e-10       1.365711960519e-14       1.474649814109e-13       2.423731392626e-17       6.417313204108e-11       6.803142406015e-12       3.529146116175e+05 
   48       1.944158250109e-10       1.462147927375e-14       1.267845339401e-13       2.526958460252e-17       6.136657143284e-11       6.535652247990e-12       3.683229092622e+05 
   49       1.972184659851e-10       1.562643787936e-14       1.043143975637e-13       2.632339539781e-17       5.872640972790e-11       6.282569779747e-12       3.840810723050e+05 
   50       2.000347257709e-10       1.667213652623e-14       7.998287723968e-14       2.739874377227e-17       5.622613490945e-11       6.040399210448e-12       4.002006700340e+05 
   51       2.028676561381e-10       1.775874930379e-14       5.377216647471e-14       2.849562739206e-17       5.386112692101e-11       5.808864478372e-12       4.166796586642e+05 
   52       2.057226079496e-10       1.888641222592e-14       2.568350961463e-14       2.961404372592e-17       5.162919195811e-11       5.588298876516e-12       4.335113496543e+05 
   53       2.086039254882e-10       2.005519529962e-14      -4.275690339612e-15       3.075398988745e-17       4.952306773915e-11       5.378651236417e-12       4.506877235798e+05 
   54       2.115148404188e-10       2.126510036622e-14      -3.609165012614e-14       3.191546262413e-17       4.753008216629e-11       5.179458104076e-12       4.681993651283e+05 
   55       2.144575499794e-10       2.251609148865e-14      -6.975110754599e-14       3.309845845533e-17       4.563602832197e-11       4.990067074527e-12       4.860376792042e+05 
   56       2.174337172205e-10       2.380819989910e-14      -1.052645407716e-13       3.430297415146e-17       4.383869870707e-11       4.810435508019e-12       5.042023328426e+05 
   57       2.204439093025e-10       2.514144134123e-14      -1.426483290529e-13       3.552900635466e-17       4.213711531579e-11       4.640481496028e-12       5.226955481674e+05 
   58       2.234873274469e-10       2.651578493682e-14      -1.819181898539e-13       3.677655143525e-17       4.052743466268e-11       4.479832440759e-12       5.415200066091e+05 
