# dimensionless DLM: total delensed [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.729466606614e-10       8.014945349515e-15       2.473270123643e-13       1.882128591593e-17       8.876597696807e-11       9.222886559934e-12       0.000000000000e+00 
   41       1.755324923014e-10       8.705892386701e-15       2.376178140657e-13       1.976301118896e-17       8.437885862308e-11       8.805113598105e-12       8.672028454033e+01 
   42       1.781405162286e-10       9.434248469200e-15       2.263891934214e-13       2.072775007526e-17       8.027566126713e-11       8.415914002212e-12       9.533139015526e+01 
   43       1.807744070789e-10       1.020061572691e-14       2.136450314118e-13       2.171550176797e-17       7.644552886939e-11       8.052677074981e-12       5.452494971535e+01 
   44       1.834344262834e-10       1.100553369714e-14       1.993976101153e-13       2.272626495457e-17       7.286064187159e-11       7.710821531691e-12       0.000000000000e+00 
   45       1.861189588365e-10       1.184949166711e-14       1.836523427223e-13       2.376003794344e-17       6.948616330267e-11       7.385271385119e-12      -3.400037329434e+01 
   46       1.888304848976e-10       1.273297786457e-14       1.663557057020e-13       2.481681915293e-17       6.631680580632e-11       7.075763762496e-12      -4.410313873064e+01 
   47       1.915708062905e-10       1.365643936942e-14       1.474323280177e-13       2.589660672204e-17       6.334889918842e-11       6.782872381842e-12      -3.645811405234e+01 
   48       1.943390888863e-10       1.462026542202e-14       1.267987156714e-13       2.699939835143e-17       6.056936082463e-11       6.506464100803e-12      -1.869336905750e+01 
   49       1.971316258023e-10       1.562478502936e-14       1.043626978383e-13       2.812519128491e-17       5.795499559366e-11       6.245642343132e-12       0.000000000000e+00 
   50       1.999439452038e-10       1.667024944868e-14       8.004087257002e-14       2.927398245084e-17       5.547948588440e-11       5.999120120215e-12       1.107994557043e+01 
   51       2.027783575830e-10       1.775677958687e-14       5.381781149704e-14       3.044576897423e-17       5.313822257411e-11       5.766589713100e-12       1.419423494991e+01 
