# Intensity and polariztion noise spectra, DLM: Noise spectra for temperature and polarization
# for l=2 to 4500,
#    1:l                      2:Nl (temp)              3:Nl (pol)           
       9.800000000000e+01       1.034230677710e-03       8.449121485859e-06 
       9.900000000000e+01       1.012450097317e-03       8.341107453115e-06 
       1.000000000000e+02       9.916961253051e-04       8.235587749513e-06 
       1.010000000000e+02       9.715831686114e-04       8.132480653701e-06 
       1.020000000000e+02       9.524047688353e-04       8.031707891241e-06 
       1.030000000000e+02       9.339530172727e-04       7.933194457650e-06 
       1.040000000000e+02       9.161915478816e-04       7.836868452109e-06 
       1.050000000000e+02       8.990862152830e-04       7.742660921099e-06 
       1.060000000000e+02       8.827554876502e-04       7.650505711291e-06 
       1.070000000000e+02       8.668648706143e-04       7.560339331067e-06 
       1.080000000000e+02       8.516845738011e-04       7.472100820075e-06 
       1.090000000000e+02       8.370373497182e-04       7.385731626301e-06 
       1.100000000000e+02       8.228979616988e-04       7.301175490153e-06 
       1.110000000000e+02       8.092426643755e-04       7.218378335106e-06 
       1.120000000000e+02       7.960490222282e-04       7.137288164467e-06 
       1.130000000000e+02       7.832959834608e-04       7.057854963888e-06 
       1.140000000000e+02       7.710940605213e-04       6.980030609246e-06 
       1.150000000000e+02       7.591610222403e-04       6.903768779552e-06 
       1.160000000000e+02       7.477379767433e-04       6.829024874581e-06 
       1.170000000000e+02       7.366775811644e-04       6.755755936930e-06 
       1.180000000000e+02       7.258421244612e-04       6.683920578215e-06 
       1.190000000000e+02       7.154624146980e-04       6.613478909183e-06 
       1.200000000000e+02       7.054002326462e-04       6.544392473471e-06 
       1.210000000000e+02       6.957580719719e-04       6.476624184814e-06 
       1.220000000000e+02       6.862892446467e-04       6.410138267492e-06 
       1.230000000000e+02       6.770995662595e-04       6.344900199819e-06 
       1.240000000000e+02       6.682879550793e-04       6.280876660495e-06 
       1.250000000000e+02       6.596207363440e-04       6.218035477669e-06 
       1.260000000000e+02       6.513068233563e-04       6.156345580533e-06 
       1.270000000000e+02       6.431206056849e-04       6.095776953325e-06 
       1.280000000000e+02       6.352650689293e-04       6.036300591590e-06 
       1.290000000000e+02       6.276244011581e-04       5.977888460570e-06 
       1.300000000000e+02       6.201901431784e-04       5.920513455621e-06 
       1.310000000000e+02       6.129542473581e-04       5.864149364517e-06 
       1.320000000000e+02       6.059091905011e-04       5.808770831569e-06 
       1.330000000000e+02       5.990476217437e-04       5.754353323430e-06 
       1.340000000000e+02       5.924572414636e-04       5.700873096512e-06 
       1.350000000000e+02       5.859407436738e-04       5.648307165927e-06 
       1.360000000000e+02       5.795879630994e-04       5.596633275855e-06 
       1.370000000000e+02       5.734833510359e-04       5.545829871295e-06 
       1.380000000000e+02       5.675280202682e-04       5.495876071081e-06 
       1.390000000000e+02       5.616285936043e-04       5.446751642142e-06 
       1.400000000000e+02       5.559570281284e-04       5.398436974911e-06 
       1.410000000000e+02       5.504192079410e-04       5.350913059833e-06 
       1.420000000000e+02       5.449261246640e-04       5.304161464921e-06 
       1.430000000000e+02       5.396429906188e-04       5.258164314296e-06 
       1.440000000000e+02       5.344800112594e-04       5.212904267667e-06 
       1.450000000000e+02       5.294330543646e-04       5.168364500711e-06 
       1.460000000000e+02       5.244981279778e-04       5.124528686291e-06 
       1.470000000000e+02       5.196714526974e-04       5.081380976481e-06 
       1.480000000000e+02       5.150269370539e-04       5.038905985364e-06 
       1.490000000000e+02       5.104050580295e-04       4.997088772552e-06 
       1.500000000000e+02       5.058810050882e-04       4.955914827399e-06 
       1.510000000000e+02       5.014515710503e-04       4.915370053876e-06 
       1.520000000000e+02       4.971871999104e-04       4.875440756073e-06 
       1.530000000000e+02       4.929370540001e-04       4.836113624301e-06 
       1.540000000000e+02       4.888442368256e-04       4.797375721756e-06 
       1.550000000000e+02       4.847620854157e-04       4.759214471735e-06 
       1.560000000000e+02       4.808301921987e-04       4.721617645366e-06 
       1.570000000000e+02       4.769744903969e-04       4.684573349827e-06 
       1.580000000000e+02       4.731247989857e-04       4.648070017042e-06 
       1.590000000000e+02       4.694154902426e-04       4.612096392820e-06 
       1.600000000000e+02       4.657756063301e-04       4.576641526430e-06 
       1.610000000000e+02       4.622030853250e-04       4.541694760574e-06 
       1.620000000000e+02       4.586313038079e-04       4.507245721762e-06 
       1.630000000000e+02       4.551882993741e-04       4.473284311051e-06 
       1.640000000000e+02       4.518067753724e-04       4.439800695146e-06 
       1.650000000000e+02       4.484850044392e-04       4.406785297840e-06 
       1.660000000000e+02       4.452212251835e-04       4.374228791778e-06 
       1.670000000000e+02       4.420137204475e-04       4.342122090533e-06 
       1.680000000000e+02       4.388610039292e-04       4.310456340982e-06 
       1.690000000000e+02       4.357614918264e-04       4.279222915968e-06 
       1.700000000000e+02       4.327136628041e-04       4.248413407224e-06 
       1.710000000000e+02       4.297738917671e-04       4.218019618575e-06 
       1.720000000000e+02       4.268245355781e-04       4.188033559377e-06 
       1.730000000000e+02       4.239227284140e-04       4.158447438198e-06 
       1.740000000000e+02       4.210671460748e-04       4.129253656734e-06 
       1.750000000000e+02       4.183117917639e-04       4.100444803937e-06 
       1.760000000000e+02       4.155444829246e-04       4.072013650361e-06 
       1.770000000000e+02       4.128198279576e-04       4.043953142699e-06 
       1.780000000000e+02       4.101900323418e-04       4.016256398531e-06 
       1.790000000000e+02       4.075468117804e-04       3.988916701240e-06 
       1.800000000000e+02       4.049951245599e-04       3.961927495114e-06 
       1.810000000000e+02       4.024292640186e-04       3.935282380622e-06 
       1.820000000000e+02       3.999008157247e-04       3.908975109851e-06 
       1.830000000000e+02       3.974592302897e-04       3.882999582097e-06 
       1.840000000000e+02       3.950521418267e-04       3.857349839610e-06 
       1.850000000000e+02       3.926294940066e-04       3.832020063492e-06 
       1.860000000000e+02       3.902894337028e-04       3.807004569719e-06 
       1.870000000000e+02       3.879332349102e-04       3.782297805311e-06 
       1.880000000000e+02       3.856569123048e-04       3.757894344623e-06 
       1.890000000000e+02       3.833639885005e-04       3.733788885764e-06 
       1.900000000000e+02       3.811483709016e-04       3.709976247134e-06 
       1.910000000000e+02       3.789618061940e-04       3.686451364071e-06 
       1.920000000000e+02       3.767580379105e-04       3.663209285620e-06 
       1.930000000000e+02       3.746280108671e-04       3.640245171394e-06 
       1.940000000000e+02       3.725250101740e-04       3.617554288546e-06 
       1.950000000000e+02       3.704484866850e-04       3.595132008836e-06 
       1.960000000000e+02       3.683541081355e-04       3.572973805795e-06 
       1.970000000000e+02       3.663291064901e-04       3.551075251978e-06 
       1.980000000000e+02       3.643287392065e-04       3.529432016301e-06 
       1.990000000000e+02       3.623525651821e-04       3.508039861472e-06 
       2.000000000000e+02       3.603581052216e-04       3.486894641497e-06 
       2.010000000000e+02       3.584290364704e-04       3.465992299259e-06 
       2.020000000000e+02       3.565225184189e-04       3.445328864189e-06 
       2.030000000000e+02       3.546381265620e-04       3.424900449989e-06 
       2.040000000000e+02       3.527351923521e-04       3.404703252445e-06 
       2.050000000000e+02       3.508939977535e-04       3.384733547292e-06 
       2.060000000000e+02       3.490735092153e-04       3.364987688154e-06 
       2.070000000000e+02       3.472733360508e-04       3.345462104542e-06 
       2.080000000000e+02       3.454930747361e-04       3.326153299917e-06 
       2.090000000000e+02       3.437322288425e-04       3.307057849807e-06 
       2.100000000000e+02       3.419526600236e-04       3.288172399986e-06 
       2.110000000000e+02       3.402299720027e-04       3.269493664697e-06 
       2.120000000000e+02       3.385256041071e-04       3.251018424947e-06 
       2.130000000000e+02       3.368391884881e-04       3.232743526829e-06 
       2.140000000000e+02       3.351703420128e-04       3.214665879915e-06 
       2.150000000000e+02       3.335187717916e-04       3.196782455680e-06 
       2.160000000000e+02       3.318841159160e-04       3.179090285985e-06 
       2.170000000000e+02       3.302308222537e-04       3.161586461591e-06 
       2.180000000000e+02       3.286293934451e-04       3.144268130731e-06 
       2.190000000000e+02       3.270439579253e-04       3.127132497708e-06 
       2.200000000000e+02       3.254741657789e-04       3.110176821547e-06 
       2.210000000000e+02       3.239197814540e-04       3.093398414674e-06 
       2.220000000000e+02       3.223805514143e-04       3.076794641642e-06 
       2.230000000000e+02       3.208227915856e-04       3.060362917885e-06 
       2.240000000000e+02       3.193131890155e-04       3.044100708516e-06 
       2.250000000000e+02       3.178179490662e-04       3.028005527147e-06 
       2.260000000000e+02       3.163367179210e-04       3.012074934757e-06 
       2.270000000000e+02       3.148692542609e-04       2.996306538576e-06 
       2.280000000000e+02       3.133835913725e-04       2.980697991013e-06 
       2.290000000000e+02       3.119433538259e-04       2.965246988602e-06 
       2.300000000000e+02       3.105161477616e-04       2.949951270988e-06 
       2.310000000000e+02       3.091018369999e-04       2.934808619935e-06 
       2.320000000000e+02       3.076695045210e-04       2.919816858358e-06 
       2.330000000000e+02       3.062805669367e-04       2.904973849388e-06 
       2.340000000000e+02       3.049038370442e-04       2.890277495458e-06 
       2.350000000000e+02       3.035390971514e-04       2.875725737415e-06 
       2.360000000000e+02       3.021567084044e-04       2.861316553655e-06 
       2.370000000000e+02       3.008157017863e-04       2.847047959282e-06 
       2.380000000000e+02       2.994861417296e-04       2.832918005287e-06 
       2.390000000000e+02       2.981391407455e-04       2.818924777756e-06 
       2.400000000000e+02       2.968321667666e-04       2.805066397085e-06 
       2.410000000000e+02       2.955361397782e-04       2.791341017232e-06 
       2.420000000000e+02       2.942228421426e-04       2.777746824974e-06 
       2.430000000000e+02       2.929483641413e-04       2.764282039195e-06 
       2.440000000000e+02       2.916567928848e-04       2.750944910184e-06 
       2.450000000000e+02       2.904031893166e-04       2.737733718955e-06 
       2.460000000000e+02       2.891326591541e-04       2.724646776585e-06 
       2.470000000000e+02       2.878993652916e-04       2.711682423566e-06 
       2.480000000000e+02       2.866492997739e-04       2.698839029178e-06 
       2.490000000000e+02       2.854355994595e-04       2.686114990871e-06 
       2.500000000000e+02       2.842053735909e-04       2.673508733670e-06 
       2.510000000000e+02       2.830108121574e-04       2.661018709591e-06 
       2.520000000000e+02       2.817998543039e-04       2.648643397072e-06 
       2.530000000000e+02       2.805984268016e-04       2.636381300419e-06 
       2.540000000000e+02       2.794316127272e-04       2.624230949265e-06 
       2.550000000000e+02       2.782486565347e-04       2.612190898044e-06 
       2.560000000000e+02       2.770748198694e-04       2.600259725473e-06 
       2.570000000000e+02       2.759345747286e-04       2.588436034056e-06 
       2.580000000000e+02       2.747784401582e-04       2.576718449591e-06 
       2.590000000000e+02       2.736311169631e-04       2.565105620693e-06 
       2.600000000000e+02       2.724924047845e-04       2.553596218328e-06 
       2.610000000000e+02       2.713860228184e-04       2.542188935361e-06 
       2.620000000000e+02       2.702641047747e-04       2.530882486110e-06 
       2.630000000000e+02       2.691504944618e-04       2.519675605912e-06 
       2.640000000000e+02       2.680450783050e-04       2.508567050705e-06 
       2.650000000000e+02       2.669477961561e-04       2.497555596610e-06 
