# DLM: Best estimate lensing noise spectra [l(l+1)/2pi] N_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:MV (DIAG)              3:TT-TT                  4:TE-TE                  5:EE-EE                  6:BB-BB                  7:EB-EB                  8:TB-TB              
   45       1.503812266492e-12       1.345589941862e-11       8.231604659088e-12       5.673600757810e-12                     -nan       3.760219662828e-12       3.706449262254e-11 
   46       1.441108059597e-12       1.288983846005e-11       7.900395689215e-12       5.441850440683e-12                     -nan       3.599581498312e-12       3.548228924257e-11 
   47       1.382542607038e-12       1.236111897364e-11       7.591102867706e-12       5.225414852288e-12                     -nan       3.449548873063e-12       3.400455988459e-11 
   48       1.327827954358e-12       1.186714323381e-11       7.302204412876e-12       5.023229831331e-12                     -nan       3.309383065154e-12       3.262402785484e-11 
   49       1.276465462480e-12       1.140341527267e-11       7.031057273337e-12       4.833449296252e-12                     -nan       3.177807769556e-12       3.132812046778e-11 
   50       1.227893053389e-12       1.096486766484e-11       6.774680226305e-12       4.653991482510e-12                     -nan       3.053385023377e-12       3.010267241657e-11 
   51       1.182007787218e-12       1.055057020130e-11       6.532533440159e-12       4.484477688744e-12                     -nan       2.935849244377e-12       2.894506787971e-11 
   52       1.138760008019e-12       1.016007301812e-11       6.304359521464e-12       4.324726470012e-12                     -nan       2.825071250935e-12       2.785403467916e-11 
   53       1.097997202923e-12       9.791999744700e-12       6.089352838415e-12       4.174174287243e-12                     -nan       2.720659728578e-12       2.682571816556e-11 
   54       1.059457080271e-12       9.443985175840e-12       5.886122570433e-12       4.031849770773e-12                     -nan       2.621943609704e-12       2.585350762318e-11 
   55       1.022846789352e-12       9.113388929527e-12       5.693114715138e-12       3.896667902486e-12                     -nan       2.528174059425e-12       2.493002616034e-11 
   56       9.881194827600e-13       8.799786817222e-12       5.510085524914e-12       3.768457102365e-12                     -nan       2.439229559087e-12       2.405407694827e-11 
   57       9.552543338605e-13       8.502989211219e-12       5.336929382090e-12       3.647142212857e-12                     -nan       2.355055117325e-12       2.322511851179e-11 
   58       9.241729265121e-13       8.222287887974e-12       5.173233257267e-12       3.532433951763e-12                     -nan       2.275449143301e-12       2.244116507023e-11 
   59       8.947356893587e-13       7.956423933415e-12       5.018257640375e-12       3.423815640141e-12                     -nan       2.200054382500e-12       2.169869723410e-11 
   60       8.667383301259e-13       7.703555648254e-12       4.870917471725e-12       3.320529930205e-12                     -nan       2.128348852539e-12       2.099257270168e-11 
   61       8.399686618774e-13       7.461770331611e-12       4.730085284318e-12       3.221790008854e-12                     -nan       2.059790573962e-12       2.031745213195e-11 
   62       8.144000537097e-13       7.230826477888e-12       4.595623283088e-12       3.127498631328e-12                     -nan       1.994310230701e-12       1.967265279358e-11 
   63       7.900352723491e-13       7.010747461772e-12       4.467550143029e-12       3.037667665305e-12                     -nan       1.931913511228e-12       1.905823085722e-11 
   64       7.668483049954e-13       6.801297623384e-12       4.345730569941e-12       2.952201829196e-12                     -nan       1.872532970089e-12       1.847352194314e-11 
   65       7.447827098081e-13       6.601967430437e-12       4.229866455010e-12       2.870892542496e-12                     -nan       1.816023843507e-12       1.791709989332e-11 
   66       7.237499663930e-13       6.411958640398e-12       4.119488029376e-12       2.793411776121e-12                     -nan       1.762159864983e-12       1.738673554342e-11 
   67       7.036278262887e-13       6.230169462639e-12       4.013945018712e-12       2.719305902748e-12                     -nan       1.710629080898e-12       1.687935549475e-11 
   68       6.842933852757e-13       6.055492264739e-12       3.912583484027e-12       2.648118788361e-12                     -nan       1.661117929396e-12       1.639187048879e-11 
   69       6.657337691708e-13       5.887809906847e-12       3.815337725801e-12       2.579803775873e-12                     -nan       1.613592613641e-12       1.592394759864e-11 
   70       6.479550156793e-13       5.727175563127e-12       3.722242975965e-12       2.514384516273e-12                     -nan       1.568067487116e-12       1.547572827369e-11 
   71       6.309485891432e-13       5.573511318518e-12       3.633256300521e-12       2.451830320323e-12                     -nan       1.524519942402e-12       1.504698979068e-11 
   72       6.146906190540e-13       5.426601324341e-12       3.548252503125e-12       2.392053314307e-12                     -nan       1.482888484160e-12       1.463712626622e-11 
   73       5.991411385657e-13       5.286084953920e-12       3.467020028669e-12       2.334905595766e-12                     -nan       1.443070802100e-12       1.424512966922e-11 
   74       5.842433230068e-13       5.151449958190e-12       3.389256866863e-12       2.280176389251e-12                     -nan       1.404921843960e-12       1.386957083343e-11 
   75       5.699227283930e-13       5.022025621317e-12       3.314566455819e-12       2.227589202060e-12                     -nan       1.368251888480e-12       1.350858046985e-11 
   76       5.561061927706e-13       4.897152808208e-12       3.242558991837e-12       2.176872272559e-12                     -nan       1.332874509900e-12       1.316032175197e-11 
   77       5.427842027623e-13       4.776745036227e-12       3.173185742386e-12       2.127991033667e-12                     -nan       1.298764828979e-12       1.282454953529e-11 
   78       5.299585692312e-13       4.660817758098e-12       3.106458537583e-12       2.080953069717e-12                     -nan       1.265926752871e-12       1.250130229349e-11 
   79       5.176234208909e-13       4.549317381668e-12       3.042347868631e-12       2.035737264904e-12                     -nan       1.234344754362e-12       1.219042700655e-11 
   80       5.057648460203e-13       4.442118052831e-12       2.980780952840e-12       1.992292461958e-12                     -nan       1.203982967907e-12       1.189157025332e-11 
   81       4.943605341786e-13       4.339018438456e-12       2.921639798652e-12       1.950536120804e-12                     -nan       1.174784285673e-12       1.160416930412e-11 
   82       4.833794179203e-13       4.239738509311e-12       2.864759270661e-12       1.910352977233e-12                     -nan       1.146669453582e-12       1.132744321325e-11 
   83       4.727813145095e-13       4.143916322991e-12       2.809925154637e-12       1.871593701569e-12                     -nan       1.119536167351e-12       1.106038391164e-11 
   84       4.625270524750e-13       4.051199057731e-12       2.756928606629e-12       1.834112711995e-12                     -nan       1.093284708053e-12       1.080200880382e-11 
   85       4.526115649571e-13       3.961540500551e-12       2.705744110075e-12       1.797891755228e-12                     -nan       1.067901711881e-12       1.055218618418e-11 
   86       4.430356511463e-13       3.874947207297e-12       2.656377609692e-12       1.762934448889e-12                     -nan       1.043388694843e-12       1.031093096215e-11 
   87       4.337957998416e-13       3.791387027663e-12       2.608811777621e-12       1.729228275176e-12                     -nan       1.019736296806e-12       1.007815087823e-11 
